variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
Tangerine Dream,10,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,10,0.0,0.0,0.0,0.0,0.0,0
XTC,10,0.0,0.0,0.0,0.0,0.0,0
Yazoo,10,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,10,0.0,0.0,0.0,0.0,0.0,0
Ultravox,11,18.48,2.0,2.0,8.52,1187.17,2
New Order,11,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,11,9.99,1.0,1.0,4.77,681.49,1
Franco Battiato,11,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,11,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,11,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,11,0.0,0.0,0.0,0.0,0.0,0
XTC,11,0.0,0.0,0.0,0.0,0.0,0
Yazoo,11,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,11,0.0,0.0,0.0,0.0,0.0,0
Ultravox,12,0.0,0.0,0.0,0.0,0.0,0
New Order,12,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,12,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,12,129.21,16.0,16.0,58.269999999999996,665.44,8
Talking Heads,12,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,12,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,12,0.0,0.0,0.0,0.0,0.0,0
XTC,12,0.0,0.0,0.0,0.0,0.0,0
Yazoo,12,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,12,0.0,0.0,0.0,0.0,0.0,0
Ultravox,13,12.01,1.0,1.0,9.99,1187.17,2
New Order,13,9.51,1.0,1.0,3.72,879.49,1
The Rolling Stones,13,176.81,22.0,22.0,87.15,681.49,8
Franco Battiato,13,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,13,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,13,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,13,0.0,0.0,0.0,0.0,0.0,0
XTC,13,0.0,0.0,0.0,0.0,0.0,0
Yazoo,13,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,13,0.0,0.0,0.0,0.0,0.0,0
Ultravox,14,39.51,4.0,4.0,32.78,1187.17,4
New Order,14,44.01,5.0,5.0,23.13,879.49,5
The Rolling Stones,14,60.19,7.0,7.0,31.52,681.49,7
Franco Battiato,14,9.79,1.0,1.0,4.34,665.44,1
Talking Heads,14,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,14,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,14,0.0,0.0,0.0,0.0,0.0,0
XTC,14,0.0,0.0,0.0,0.0,0.0,0
Yazoo,14,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,14,0.0,0.0,0.0,0.0,0.0,0
Ultravox,15,0.0,0.0,0.0,0.0,0.0,0
New Order,15,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,15,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,15,200.26,25.0,25.0,100.82000000000001,665.44,8
Talking Heads,15,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,15,101.7,12.0,12.0,60.67,299.43,8
Van Der Graaf Generator,15,0.0,0.0,0.0,0.0,0.0,0
XTC,15,0.0,0.0,0.0,0.0,0.0,0
Yazoo,15,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,15,0.0,0.0,0.0,0.0,0.0,0
Ultravox,16,0.0,0.0,0.0,0.0,0.0,0
New Order,16,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,16,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,16,50.62,6.0,6.0,21.71,665.44,6
Talking Heads,16,35.48,4.0,4.0,17.73,472.61,4
Tangerine Dream,16,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,16,0.0,0.0,0.0,0.0,0.0,0
XTC,16,0.0,0.0,0.0,0.0,0.0,0
Yazoo,16,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,16,0.0,0.0,0.0,0.0,0.0,0
Ultravox,17,0.0,0.0,0.0,0.0,0.0,0
New Order,17,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,17,0.0,0.0,0.0,0.0,0.0,0
