index,variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
97,The Beatles,10,96.3,12.0,12.0,36.04,238.87,8
98,Frank Zappa,10,0.0,0.0,0.0,0.0,0.0,0
99,Premiata Forneria Marconi,10,0.0,0.0,0.0,0.0,0.0,0
100,Talking Heads,11,85.85,10.0,10.0,51.82,637.02,8
101,New Order,11,28.17,3.0,3.0,16.67,576.21,3
102,The Human League,11,19.54,2.0,2.0,11.55,554.77,2
103,Franco Battiato,11,0.0,0.0,0.0,0.0,0.0,0
104,Ultravox,11,0.0,0.0,0.0,0.0,0.0,0
105,Depeche Mode,11,0.0,0.0,0.0,0.0,0.0,0
106,King Crimson,11,9.95,1.0,1.0,4.69,240.46,1
107,The Beatles,11,0.0,0.0,0.0,0.0,0.0,0
108,Frank Zappa,11,0.0,0.0,0.0,0.0,0.0,0
109,Premiata Forneria Marconi,11,79.17,9.0,9.0,53.29,214.01,8
110,Talking Heads,12,9.96,1.0,1.0,4.72,637.02,1
111,New Order,12,28.02,3.0,3.0,16.18,576.21,3
112,The Human League,12,0.0,0.0,0.0,0.0,0.0,0
113,Franco Battiato,12,99.49,12.0,12.0,50.13,435.24,8
114,Ultravox,12,0.0,0.0,0.0,0.0,0.0,0
115,Depeche Mode,12,0.0,0.0,0.0,0.0,0.0,0
116,King Crimson,12,0.0,0.0,0.0,0.0,0.0,0
117,The Beatles,12,0.0,0.0,0.0,0.0,0.0,0
118,Frank Zappa,12,0.0,0.0,0.0,0.0,0.0,0
119,Premiata Forneria Marconi,12,62.13,7.0,7.0,39.58,214.01,7
120,Talking Heads,13,108.83,13.0,13.0,61.29,637.02,8
121,New Order,13,85.86,10.0,10.0,51.84,576.21,8
122,The Human League,13,0.0,0.0,0.0,0.0,0.0,0
123,Franco Battiato,13,0.0,0.0,0.0,0.0,0.0,0
124,Ultravox,13,101.07,12.0,12.0,57.57,391.41,8
125,Depeche Mode,13,0.0,0.0,0.0,0.0,0.0,0
126,King Crimson,13,0.0,0.0,0.0,0.0,0.0,0
127,The Beatles,13,0.0,0.0,0.0,0.0,0.0,0
128,Frank Zappa,13,0.0,0.0,0.0,0.0,0.0,0
129,Premiata Forneria Marconi,13,0.0,0.0,0.0,0.0,0.0,0
130,Talking Heads,14,170.43,21.0,21.0,90.53999999999999,637.02,8
131,New Order,14,19.42,2.0,2.0,11.190000000000001,576.21,2
132,The Human League,14,0.0,0.0,0.0,0.0,0.0,0
133,Franco Battiato,14,9.59,1.0,1.0,3.89,435.24,1
134,Ultravox,14,0.0,0.0,0.0,0.0,0.0,0
135,Depeche Mode,14,0.0,0.0,0.0,0.0,0.0,0
136,King Crimson,14,92.58,11.0,11.0,50.56,240.46,8
137,The Beatles,14,0.0,0.0,0.0,0.0,0.0,0
138,Frank Zappa,14,0.0,0.0,0.0,0.0,0.0,0
139,Premiata Forneria Marconi,14,0.0,0.0,0.0,0.0,0.0,0
140,Talking Heads,15,83.21,10.0,10.0,39.92,637.02,8
141,New Order,15,10.17,1.0,1.0,5.2,576.21,2
142,The Human League,15,0.0,0.0,0.0,0.0,0.0,0
143,Franco Battiato,15,9.63,1.0,1.0,3.99,435.24,1
144,Ultravox,15,9.57,1.0,1.0,3.85,391.41,1
145,Depeche Mode,15,0.0,0.0,0.0,0.0,0.0,0
146,King Crimson,15,0.0,0.0,0.0,0.0,0.0,0
147,The Beatles,15,0.0,0.0,0.0,0.0,0.0,0
148,Frank Zappa,15,90.67,11.0,11.0,41.93,234.56,8
149,Premiata Forneria Marconi,15,26.64,3.0,3.0,11.85,214.01,3
150,Talking Heads,16,66.82,8.0,8.0,30.02,637.02,7
151,New Order,16,37.33,4.0,4.0,24.28,576.21,4
152,The Human League,16,11.12,1.0,1.0,7.55,554.77,2
153,Franco Battiato,16,0.0,0.0,0.0,0.0,0.0,0
154,Ultravox,16,0.0,0.0,0.0,0.0,0.0,0
155,Depeche Mode,16,0.0,0.0,0.0,0.0,0.0,0
156,King Crimson,16,0.0,0.0,0.0,0.0,0.0,0
157,The Beatles,16,0.0,0.0,0.0,0.0,0.0,0
158,Frank Zappa,16,0.0,0.0,0.0,0.0,0.0,0
159,Premiata Forneria Marconi,16,0.0,0.0,0.0,0.0,0.0,0
160,Talking Heads,17,0.0,0.0,0.0,0.0,0.0,0
161,New Order,17,0.0,0.0,0.0,0.0,0.0,0
162,The Human League,17,0.0,0.0,0.0,0.0,0.0,0
163,Franco Battiato,17,0.0,0.0,0.0,0.0,0.0,0
164,Ultravox,17,0.0,0.0,0.0,0.0,0.0,0
165,Depeche Mode,17,0.0,0.0,0.0,0.0,0.0,0
166,King Crimson,17,0.0,0.0,0.0,0.0,0.0,0
167,The Beatles,17,0.0,0.0,0.0,0.0,0.0,0
168,Frank Zappa,17,0.0,0.0,0.0,0.0,0.0,0
169,Premiata Forneria Marconi,17,0.0,0.0,0.0,0.0,0.0,0
170,Talking Heads,18,0.0,0.0,0.0,0.0,0.0,0
171,New Order,18,83.39,10.0,10.0,40.71,576.21,8
172,The Human League,18,34.48,4.0,4.0,14.44,554.77,4
173,Franco Battiato,18,0.0,0.0,0.0,0.0,0.0,0
174,Ultravox,18,0.0,0.0,0.0,0.0,0.0,0
175,Depeche Mode,18,0.0,0.0,0.0,0.0,0.0,0
176,King Crimson,18,0.0,0.0,0.0,0.0,0.0,0
177,The Beatles,18,0.0,0.0,0.0,0.0,0.0,0
