variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
Ultravox,20,64.23,7.0,7.0,48.93,476.05,7
Kajagoogoo,20,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,20,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,20,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,20,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,20,0.0,0.0,0.0,0.0,0.0,0
Vangelis,20,0.0,0.0,0.0,0.0,0.0,0
New Order,21,47.17,5.0,5.0,35.51,1119.53,5
Franco Battiato,21,0.0,0.0,0.0,0.0,0.0,0
Yes,21,44.84,5.0,5.0,26.22,488.05,5
Ultravox,21,108.82,13.0,13.0,61.23,476.05,8
Kajagoogoo,21,43.58,5.0,5.0,21.55,416.12,5
Tangerine Dream,21,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,21,43.37,5.0,5.0,20.82,346.88,5
Van Der Graaf Generator,21,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,21,55.4,6.0,6.0,40.74,258.06,6
Vangelis,21,0.0,0.0,0.0,0.0,0.0,0
New Order,22,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,22,0.0,0.0,0.0,0.0,0.0,0
Yes,22,0.0,0.0,0.0,0.0,0.0,0
Ultravox,22,71.48,8.0,8.0,50.06,476.05,8
Kajagoogoo,22,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,22,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,22,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,22,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,22,0.0,0.0,0.0,0.0,0.0,0
Vangelis,22,0.0,0.0,0.0,0.0,0.0,0
New Order,23,29.16,3.0,3.0,20.08,1119.53,3
Franco Battiato,23,94.95,12.0,11.0,47.65,655.33,8
Yes,23,10.6,1.0,1.0,6.24,488.05,2
Ultravox,23,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,23,26.93,3.0,3.0,12.73,416.12,3
Tangerine Dream,23,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,23,35.93,4.0,4.0,19.259999999999998,346.88,4
Van Der Graaf Generator,23,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,23,9.6,1.0,1.0,3.92,258.06,1
Vangelis,23,0.0,0.0,0.0,0.0,0.0,0
New Order,24,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,24,68.56,8.0,8.0,37.16,655.33,7
Yes,24,0.0,0.0,0.0,0.0,0.0,0
Ultravox,24,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,24,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,24,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,24,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,24,35.37,3.0,3.0,45.01,288.5,4
Dissidenten,24,0.0,0.0,0.0,0.0,0.0,0
Vangelis,24,0.0,0.0,0.0,0.0,0.0,0
New Order,25,59.28,7.0,6.0,44.61,1119.53,6
Franco Battiato,25,0.0,0.0,0.0,0.0,0.0,0
Yes,25,0.0,0.0,0.0,0.0,0.0,0
Ultravox,25,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,25,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,25,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,25,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,25,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,25,0.0,0.0,0.0,0.0,0.0,0
Vangelis,25,0.0,0.0,0.0,0.0,0.0,0
New Order,26,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,26,0.0,0.0,0.0,0.0,0.0,0
Yes,26,0.0,0.0,0.0,0.0,0.0,0
Ultravox,26,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,26,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,26,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,26,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,26,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,26,0.0,0.0,0.0,0.0,0.0,0
Vangelis,26,0.0,0.0,0.0,0.0,0.0,0
New Order,27,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,27,0.0,0.0,0.0,0.0,0.0,0
Yes,27,0.0,0.0,0.0,0.0,0.0,0
Ultravox,27,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,27,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,27,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,27,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,27,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,27,0.0,0.0,0.0,0.0,0.0,0
Vangelis,27,0.0,0.0,0.0,0.0,0.0,0
New Order,28,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,28,0.0,0.0,0.0,0.0,0.0,0
Yes,28,0.0,0.0,0.0,0.0,0.0,0
Ultravox,28,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,28,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,28,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,28,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,28,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,28,0.0,0.0,0.0,0.0,0.0,0
Vangelis,28,0.0,0.0,0.0,0.0,0.0,0
New Order,29,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,29,0.0,0.0,0.0,0.0,0.0,0
Yes,29,0.0,0.0,0.0,0.0,0.0,0
Ultravox,29,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,29,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,29,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,29,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,29,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,29,0.0,0.0,0.0,0.0,0.0,0
Vangelis,29,0.0,0.0,0.0,0.0,0.0,0
New Order,30,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,30,231.23,29.0,29.0,118.17999999999999,655.33,8
Yes,30,0.0,0.0,0.0,0.0,0.0,0
Ultravox,30,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,30,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,30,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,30,9.97,1.0,1.0,4.74,346.88,1
Van Der Graaf Generator,30,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,30,0.0,0.0,0.0,0.0,0.0,0
Vangelis,30,0.0,0.0,0.0,0.0,0.0,0
