variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,oha,value
King Crimson,21,0.0,0.0,0.0,0.0,0.0,1,0
New Order,21,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,21,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,21,19.25,2.0,2.0,10.69,401.93,1,2
Banco Del Mutuo Soccorso,21,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,21,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,22,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,22,74.96,9.0,9.0,34.64,963.66,1,8
Kajagoogoo,22,102.46,13.0,12.0,49.980000000000004,908.13,1,8
Yes,22,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,22,10.68,1.0,1.0,6.44,587.92,1,2
New Order,22,26.53,3.0,3.0,11.52,570.75,1,3
Premiata Forneria Marconi,22,10.26,1.0,1.0,5.4,515.13,1,2
Depeche Mode,22,11.87,1.0,1.0,9.59,401.93,1,2
Banco Del Mutuo Soccorso,22,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,22,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,23,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,23,17.94,2.0,2.0,7.08,963.66,1,2
Kajagoogoo,23,87.15,11.0,10.0,44.03,908.13,1,8
Yes,23,10.43,1.0,1.0,5.81,898.61,1,2
King Crimson,23,19.32,2.0,2.0,10.9,587.92,1,2
New Order,23,109.76,13.0,12.0,86.84,570.75,1,8
Premiata Forneria Marconi,23,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,23,81.46,10.0,9.0,50.010000000000005,401.93,1,8
Banco Del Mutuo Soccorso,23,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,23,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,24,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,24,99.13,12.0,12.0,48.49,963.66,1,8
Kajagoogoo,24,56.56,7.0,6.0,32.980000000000004,908.13,1,6
Yes,24,10.2,1.0,1.0,5.26,898.61,1,2
King Crimson,24,23.23,3.0,2.0,13.66,587.92,1,3
New Order,24,66.11,8.0,6.0,62.68,570.75,1,7
Premiata Forneria Marconi,24,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,24,96.77,12.0,10.0,76.23,401.93,1,8
Banco Del Mutuo Soccorso,24,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,24,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,25,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,25,235.03,30.0,28.0,147.87,963.66,1,8
Kajagoogoo,25,26.44,3.0,3.0,11.25,908.13,1,3
Yes,25,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,25,18.85,2.0,2.0,9.530000000000001,587.92,1,2
New Order,25,21.46,2.0,2.0,17.65,570.75,1,3
Premiata Forneria Marconi,25,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,25,45.69,5.0,5.0,29.52,401.93,1,5
Banco Del Mutuo Soccorso,25,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,25,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,26,11.4,1.0,1.0,8.3,1000.08,1,2
Franco Battiato,26,210.54,28.0,25.0,108.16,963.66,1,8
Kajagoogoo,26,43.3,5.0,5.0,20.54,908.13,1,5
Yes,26,10.74,1.0,1.0,6.58,898.61,1,2
King Crimson,26,18.52,2.0,2.0,8.64,587.92,1,2
New Order,26,30.06,3.0,3.0,23.3,570.75,1,4
Premiata Forneria Marconi,26,18.5,2.0,2.0,8.56,515.13,1,2
Depeche Mode,26,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,26,10.66,1.0,1.0,6.37,366.5,1,2
The Dandy Warhols,26,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,27,12.14,1.0,1.0,10.38,1000.08,1,2
Franco Battiato,27,9.44,1.0,1.0,3.57,963.66,1,1
Kajagoogoo,27,25.93,3.0,3.0,9.77,908.13,1,3
Yes,27,9.24,1.0,1.0,3.16,898.61,1,1
King Crimson,27,19.38,2.0,2.0,11.06,587.92,1,2
New Order,27,20.03,2.0,2.0,13.02,570.75,1,3
Premiata Forneria Marconi,27,10.51,1.0,1.0,6.02,515.13,1,2
Depeche Mode,27,19.09,2.0,2.0,10.21,401.93,1,2
Banco Del Mutuo Soccorso,27,9.91,1.0,1.0,4.61,366.5,1,1
The Dandy Warhols,27,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,28,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,28,0.0,0.0,0.0,0.0,0.0,1,0
Kajagoogoo,28,67.8,8.0,8.0,33.97,908.13,1,7
Yes,28,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,28,28.27,3.0,3.0,17.01,587.92,1,3
New Order,28,30.32,3.0,3.0,24.26,570.75,1,4
Premiata Forneria Marconi,28,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,28,39.01,4.0,4.0,30.78,401.93,1,4
Banco Del Mutuo Soccorso,28,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,28,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,29,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,29,42.74,5.0,5.0,18.61,963.66,1,5
Kajagoogoo,29,10.74,1.0,1.0,6.58,908.13,1,2
Yes,29,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,29,0.0,0.0,0.0,0.0,0.0,1,0
New Order,29,137.58,17.0,16.0,85.89,570.75,1,8
Premiata Forneria Marconi,29,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,29,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,29,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,29,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,30,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,30,0.0,0.0,0.0,0.0,0.0,1,0
Kajagoogoo,30,10.74,1.0,1.0,6.58,908.13,1,2
Yes,30,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,30,17.77,2.0,2.0,6.67,587.92,1,2
New Order,30,110.02,14.0,12.0,72.34,570.75,1,8
Premiata Forneria Marconi,30,19.1,2.0,2.0,10.26,515.13,1,2
Depeche Mode,30,18.85,2.0,2.0,9.54,401.93,1,2
Banco Del Mutuo Soccorso,30,10.23,1.0,1.0,5.33,366.5,1,2
The Dandy Warhols,30,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,31,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,31,0.0,0.0,0.0,0.0,0.0,1,0
Kajagoogoo,31,9.57,1.0,1.0,3.85,908.13,1,1
Yes,31,125.54,15.0,15.0,75.03,898.61,1,8
King Crimson,31,0.0,0.0,0.0,0.0,0.0,1,0
New Order,31,29.21,4.0,2.0,23.86,570.75,1,3
Premiata Forneria Marconi,31,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,31,10.64,1.0,1.0,6.34,401.93,1,2
Banco Del Mutuo Soccorso,31,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,31,0.0,0.0,0.0,0.0,0.0,1,0
